I have technical problems with the website or app;If you have any questions regarding our website lufthansa.com or the mobile Lufthansa App, our IT support team will be happy to help you. You can find the telephone number for your country at https://www.lh.com/xx/en/help-and-contact#help\n\nThe telephone number for Germany is: +49 69 86 799 699
we cannot check in despite the check in already being enabled;If you have any questions regarding our website lufthansa.com or the mobile Lufthansa App, our IT support team will be happy to help you. You can find the telephone number for your country at https://www.lh.com/xx/en/help-and-contact#help\n\nThe telephone number for Germany is: +49 69 86 799 699
I can't log-in;If you have any questions regarding our website lufthansa.com or the mobile Lufthansa App, our IT support team will be happy to help you. You can find the telephone number for your country at https://www.lh.com/xx/en/help-and-contact#help\n\nThe telephone number for Germany is: +49 69 86 799 699
Payment doesn't work;If you have any questions regarding our website lufthansa.com or the mobile Lufthansa App, our IT support team will be happy to help you. You can find the telephone number for your country at https://www.lh.com/xx/en/help-and-contact#help\n\nThe telephone number for Germany is: +49 69 86 799 699
Password issues;If you have any questions regarding our website lufthansa.com or the mobile Lufthansa App, our IT support team will be happy to help you. You can find the telephone number for your country at https://www.lh.com/xx/en/help-and-contact#help\n\nThe telephone number for Germany is: +49 69 86 799 699
problem updating my personal details;If you have any questions regarding our website lufthansa.com or the mobile Lufthansa App, our IT support team will be happy to help you. You can find the telephone number for your country at https://www.lh.com/xx/en/help-and-contact#help\n\nThe telephone number for Germany is: +49 69 86 799 699
error on website;If you have any questions regarding our website lufthansa.com or the mobile Lufthansa App, our IT support team will be happy to help you. You can find the telephone number for your country at https://www.lh.com/xx/en/help-and-contact#help\n\nThe telephone number for Germany is: +49 69 86 799 699
I have problems on lufthansa.com - what shall I do?;If you have any questions regarding our website lufthansa.com or the mobile Lufthansa App, our IT support team will be happy to help you. You can find the telephone number for your country at https://www.lh.com/xx/en/help-and-contact#help\n\nThe telephone number for Germany is: +49 69 86 799 699
";";If you have any questions regarding our website lufthansa.com or the mobile Lufthansa App, our IT support team will be happy to help you. You can find the telephone number for your country at https://www.lh.com/xx/en/help-and-contact#help\n\nThe telephone number for Germany is: +49 69 86 799 699
bug in app;If you have any questions regarding our website lufthansa.com or the mobile Lufthansa App, our IT support team will be happy to help you. You can find the telephone number for your country at https://www.lh.com/xx/en/help-and-contact#help\n\nThe telephone number for Germany is: +49 69 86 799 699
technical error;If you have any questions regarding our website lufthansa.com or the mobile Lufthansa App, our IT support team will be happy to help you. You can find the telephone number for your country at https://www.lh.com/xx/en/help-and-contact#help\n\nThe telephone number for Germany is: +49 69 86 799 699
